url,date,summary,hiring market,consumer spending,economic growth,material prices
https://www.minneapolisfed.org/beige-book-reports/2004/2004-01-su,2004-1,"{'consumer spending': 7, 'economic growth': 8, 'extract': 'Reports from Federal Reserve Districts suggest that the nation\'s economy has continued to improve since the last survey.  The strongest report came from the San Francisco district, which said its economy expanded soundly.  Most other districts also gave quite favorable reports, saying their economies improved, strengthened further, or grew at a moderate pace.  However, Cleveland, Chicago, and Dallas reported only slow or modest growth, and St. Louis said conditions were mixed.  Retailers and manufacturers reported that prices were generally steady despite increases for raw materials.Holiday retail sales were generally positive across the country, and auto sales either improved or held steady in most districts.  Manufacturing activity increased in nearly all districts, and New York, Philadelphia, and Kansas City noted some growth in factory employment.  Housing remained strong, particularly in the Boston and San Francisco districts.  Commercial real estate was still weak, although a few districts reported signs of firming.  Travel and tourism activity increased considerably, and gains were reported in most other service industries as well.  Bank loan demand was flat or slightly lower, with credit quality generally unchanged.  Energy and agricultural activity was steady in most districts, although the appearance of mad cow disease created considerable uncertainty in the cattle industry.Along with the increase in overall economic activity, many districts reported modest improvements in labor markets.  These improvements took the form of reduced layoffs or modestly increased hiring, although new hiring was still quite minimal in several districts and most types of workers remained easy to recruit.  Health care and other employee benefit costs continued to rise.  However, with labor markets still slack, wage pressures remained generally subdued.  Retail prices were generally flat, with some districts reporting less discounting of holiday retail prices than in previous years.  Manufacturers in most districts also held their selling prices steady, despite substantial increases in the prices of some raw materials such as steel and natural gas.Reports on holiday retail sales were generally upbeat across the country, particularly for sales during the last two weeks of 2003.  San Francisco gave the strongest report, saying robust sales led to considerable year-over-year gains.  Holiday sales were also quite solid in the Boston, Philadelphia, St. Louis, and Kansas City districts.  Most other districts reported more modest year-over-year sales growth, although some of these districts noted an improvement in sales at the end of December.  Cleveland, on the other hand, said retailers were generally disappointed by sluggish sales during the holidays.  All districts reporting on store inventories said stock levels were generally in good shape for 2004, and all districts reporting on expectations for future retail sales anticipate continued improvement in the months ahead.Reports on auto sales were also generally positive, with most districts reporting either steady or improving sales at the end of the year.  Cleveland, St. Louis, and Minneapolis characterized new vehicle sales as ""strong"" or ""solid"" in December, although St. Louis reported that sales of used cars were not as robust as sales of new cars.  Richmond, Chicago, and San Francisco all noted some improvement in vehicle sales from previous months, while Atlanta, Kansas City, and Dallas said sales were mixed or flat.  Philadelphia noted that a seasonal slowing in auto sales resulted in a buildup of inventories, and dealers in the Cleveland district were worried about their ability to sell all of their 2003 models.  Otherwise, though, districts reporting expectations for auto sales were generally optimistic about 2004.Nearly all districts reported increases in manufacturing activity in December, and several districts noted that factory employment had begun to edge up as well.  Chicago reported broad-based improvement across manufacturing industries, and Dallas and San Francisco said factory activity increased in a variety of sectors.  Philadelphia, Richmond, and Kansas City noted strong orders in December, and Boston said several firms had been ""pleasantly surprised"" by recent increases in orders.  Factory employment was reported to have posted modest overall gains in the New York, Philadelphia, and Kansas City districts, and factory jobs also reportedly picked up in select industries or for select occupations in the Boston, Richmond, and San Francisco districts.Manufacturers across the country generally expect factory conditions to continue to improve in the months ahead, and several districts noted that capital spending in 2004 will be somewhat higher than in 2003.  Much of the increased spending will go towards replacement of outdated IT and other capital equipment, but both Chicago and Kansas City reported a few firms plan plant expansions as well.  Exceptions to the optimistic outlook included textile producers in the Boston and Richmond districts, who continue to suffer from excess capacity.Residential real estate activity remained robust, with home sales and new construction reported to be strong in most districts.  In the Boston district, home sales in Massachusetts continued to rise at double-digit rates, while housing activity in other parts of the district returned to more normal levels following boom conditions during the last two years.  In the San Francisco district, home sales increased and home price appreciation remained solid.  In most other districts, home sales and single-family homebuilding were reported to be holding steady at high levels.  The only districts reporting some slowdown in overall housing activity were Chicago and Dallas.  Contacts in the Chicago district said some easing was inevitable given the previous boom, but Dallas reported that high inventories of existing homes were becoming a concern.  Both Boston and Kansas City reported that the high-end market was weaker than the entry-level market, although tentative signs of a turnaround in high-end construction were noted in Kansas City.  The multifamily market remained weak in the few districts reporting on this sector, the only bright spot being a modest recovery in apartment rents in New York.Commercial real estate activity remained weak, although there were signs of improvement in a few districts.  In most districts, commercial real estate markets and nonresidential construction were described as soft with little improvement expected in the near term.  Commercial builders in the Cleveland district viewed 2003 as a weak year and did not expect conditions to improve for at least the next six months.  In the Chicago district, vacancy rates remained elevated in most segments of the market, and contacts saw no indication of a firming in demand at the end of the year.  On a more positive note, however, a few districts reported either a pickup in activity or improvement in expectations for the future.  For example, Atlanta reported that commercial construction activity was still generally weak but that leasing activity continued to improve.  In the Dallas district, the office market remained soft, but contacts were increasingly optimistic that the worst was behind them.  The strongest report came from the Richmond district, where contacts were highly encouraged by a pickup in leasing activity late in the year.Travel and tourism activity improved substantially.  Boston, Richmond, Minneapolis, Kansas City and San Francisco all reported a surge in visitors to ski resorts due to very good snow conditions, while Atlanta noted increased optimism about winter tourism in Florida and New Orleans.  Boston also reported a positive outlook for international bookings due to the lower dollar and promotional airfares.  Demand for hotel rooms in New York remained strong, as brisk leisure travel activity more than compensated for a continued slump in business travel.  In other reports on business travel, Atlanta observed a modest increase in convention bookings, while Boston noted increased spending on corporate entertaining and higher bookings for corporate meetings in 2004.Activity in other service industries generally expanded as well.  Several districts reported increased demand for freight transport services.  For example, Cleveland observed busy trucking activity serving retailers, Dallas reported increased rail shipments of lumber due to strength in construction, and San Francisco noted that exports and holiday imports kept several seaports operating at capacity.  Looking at other sectors, Dallas reported robust growth in legal services, Philadelphia noted improved demand at marketing firms, and New York cited unusually brisk hiring for office jobs.  Boston reported little change in overall demand for insurance, with slightly higher sales of long-term care products but lower revenue from large-property insurance.  On a negative note, Richmond indicated lackluster activity at several business support and technical firms.Overall demand for bank loans either remained unchanged or declined somewhat in most districts.  Home mortgage lending continued to fall due mainly to lower refinancing activity.  Banks in the Chicago district reported that new mortgage originations were also slowing somewhat, although such lending remained fairly strong.  Demand for consumer loans fell somewhat in the New York and St. Louis districts and rose in the Philadelphia and Kansas City districts.  Business loan demand increased in the Philadelphia, Richmond, and St. Louis districts but held steady or weakened in other districts.  Banks in the Richmond district attributed the increased demand for business loans to the stronger economy and were optimistic about lending prospects for 2004.  In the Chicago and San Francisco districts, banks reported more inquiries about lending terms from small businesses, even though overall business lending remained flat.Credit quality and lending standards were little changed in most districts.  Credit quality was described as stable in the Philadelphia district, although some banks reported higher defaults on consumer loans.  Banks in the New York district reported fewer delinquencies in all loan categories except business loans.  In the Chicago district, business loan quality improved, but home mortgage loan quality eroded slightly.  The only changes in credit standards were in the New York district, where they were tightened slightly for non-mortgage loans, and in the Chicago district, where some large banks were said to be loosening standards on business loans in an effort to boost lending.Activity in natural resource industries generally held steady.  Ore mining in the Minneapolis district continued at a strong pace, as some mines produced near capacity while other, previously shut, mines reopened.  Energy activity in the Dallas district was little changed, but contacts noted continuing excess capacity in the oil services and machinery industry.  Oil and gas drilling in the Kansas City district remained unchanged at levels considerably higher than a year ago, while Minneapolis reported a decrease in both oil and natural gas exploration.  Looking ahead, natural gas producers in the Kansas City district plan increased capital spending in anticipation of continued strong production, but contacts in both the Kansas City and Dallas districts expect some decline in oil production in coming months.While most districts reported steady conditions in the farm economy, the appearance of mad cow disease created substantial uncertainty in the cattle industry.  Farm incomes were supported in the Chicago district by strong hog production and by rising corn and soybean prices, while incomes in the Kansas City district were maintained by high soybean prices and still-elevated cattle prices.  In the San Francisco district, farmers benefited from strong holiday sales of cut flowers and Christmas trees.  Crop conditions in the Atlanta and Dallas districts were reported as stable.  However, farmers in some parts of the Minneapolis and Kansas City districts continued to suffer from drought, and Richmond reported harvest and planting delays due to excessive precipitation.  The emergence of a case of mad cow disease in Washington state resulted in a great deal of uncertainty for cattle ranchers.  Contacts in several districts noted substantial declines in cattle prices due to foreign bans on U.S. beef exports.  The uncertainty was causing ranchers in the Kansas City and Dallas districts to take a wait-and-see approach toward herd adjustments.  San Francisco, on the other hand, reported that the appearance of mad cow disease was boosting sales of range-raised beef.Most districts reported modest improvements in labor markets in December.  San Francisco noted a pickup in hiring, Minneapolis reported more hiring announcements than layoff announcements, and Kansas City said layoffs dropped considerably.  Likewise, demand for temp workers increased in the Philadelphia and Richmond districts, and Chicago said the seasonal decrease in temp employment this year was less than in the previous two years.  On the other hand, hiring was said to be quite minimal in several districts.  Cleveland, for example, noted that most firms still do not plan to increase payrolls in the near future.  In addition, while hiring improved somewhat in the Atlanta district, firms generally remained reluctant to add full-time staff.  Both Kansas City and Dallas noted some pickup in demand for high-tech workers, although such workers were still easily recruited in the Kansas City district and some types of high-tech and telecom work in the Dallas district continued to be outsourced overseas.  Acute labor shortages were generally reported only for select health care fields, with some hospitals in the Atlanta district recruiting overseas to fill open nursing positions.Wage pressures generally remained subdued throughout the nation, but most districts continued to report greater upward pressure on health care and other employee benefit costs.  Chicago, Kansas City and San Francisco described wage increases as ""weak"" or ""modest"" and Boston stated that wages were mostly stable.  Exceptions were reported in the Dallas district, with wages subject to downward pressure in the airline industry but upward pressure in certain occupations such as skilled mechanics.  Meanwhile, districts consistently reported that employee benefit costs continued to increase.  San Francisco said that the improving job market was making it harder to shift increases in health care premiums to workers, resulting in slightly higher growth of total compensation.Most districts reported little change in final goods prices, but costs of some raw materials rose noticeably.  Retail prices were generally stable.  Atlanta, Kansas City, Dallas, and San Francisco all reported less discounting of holiday retail prices than in previous years, although a few other districts said holiday discounts were similar to last year.  In manufacturing, the most widely cited increase in raw materials costs was for steel.  Contacts in the Cleveland district said steel producers were raising prices to cover the increased cost of their own inputs, such as scrap and iron ore, and that steel prices were likely to continue rising through the first quarter.  Price increases were also reported in some districts for copper and aluminum.  In the Boston district, prices of lumber and plywood were reported to have fallen back somewhat from the highs reached in the third quarter, but contacts in other districts said these prices were still well above year-ago levels.  In most districts, manufacturing firms were reported to still be having difficulty passing input costs on to their customers.  In the Dallas district, petrochemical producers held their selling prices steady in the face of sharply rising natural gas prices, and trucking firms kept their rates unchanged despite higher fuel costs.  The only signs of a change in pricing power were in the New York and Kansas City districts, where some firming in selling prices was reported.', 'hiring market': 6, 'material prices': 5}",6.0,7.0,8.0,5.0
https://www.minneapolisfed.org/beige-book-reports/2004/2004-03-su,2004-3,"{'consumer spending': 7, 'economic growth': 8, 'extract': 'Economic activity continued to expand in January and February, according to information received by Federal Reserve District Banks. Growth was variously described as moderate in Boston, Philadelphia, Cleveland, Atlanta, Chicago, St. Louis, and Kansas City, firm in Minneapolis, sound in San Francisco, and showing signs of accelerating in New York, Richmond, and Dallas. Consumer spending rose in most Districts. There were gains in sales of general merchandise in January and February in all Districts except St. Louis, which reported a slight decline. In contrast to the general improvement in merchandise sales, motor vehicle sales slowed in most Districts. Tourism activity increased compared to last winter. Service sector activity has been expanding. Manufacturing output continued to rise in all Districts except Cleveland, where it has been steady. Real estate market conditions showed little change: commercial markets generally remain soft and demand for housing continues to be strong. Agricultural conditions were mixed: demand for beef appears to be recovering from the effects of mad cow disease but exports of poultry products have been curtailed by the outbreak of avian influenza. Oil and gas production remain at high levels and iron ore processing has increased. Bank lending has been growing moderately. Employment has been growing slowly in most Federal Reserve Districts. Wages and salaries have increased slightly, but employers report substantial increases for employee health-care costs. Most Reserve Banks reported level or modestly increasing retail prices, but information received from manufacturers and other businesses indicates that commodity prices have moved up more noticeably. The largest increases have been for steel and for lumber and other building materials. Shipping charges have also risen recently.', 'hiring market': 6, 'material prices': 9}",6.0,7.0,8.0,9.0
https://www.minneapolisfed.org/beige-book-reports/2004/2004-04-su,2004-4,"{'consumer spending': 7, 'economic growth': 8, 'extract': 'Economic activity increased across the nation from mid-February through early April. The growth was widespread as retail sales moved up noticeably, and manufacturing, mining, energy, tourism and services all grew. In addition, new home construction is strong in a number of districts. However, commercial real estate markets remained soft. Lending activity increased and credit quality remained solid. Conditions in the agricultural sector improved overall with higher prices for most products. Meanwhile, labor markets tightened somewhat with modest wage increases. Many districts reported modest increases in overall consumer prices, but most districts indicated significant increases in numerous commodities and input products.', 'hiring market': 6, 'material prices': 4}",6.0,7.0,8.0,4.0
https://www.minneapolisfed.org/beige-book-reports/2004/2004-06-su,2004-6,"{'consumer spending': 7, 'economic growth': 8, 'extract': 'Reports from the Federal Reserve Banks indicate that economy activity in April and May continued to expand across the nation. Manufacturing activity continued to rise in most districts, with several districts describing the increases as broad-based. Most Federal Reserve districts reported increased demand for services. Retail sales remained even or rose in most districts. Residential real estate markets remained strong, and a few districts noted stable or improving conditions in commercial real estate markets. Bank lending activity increased in most districts. Conditions in the agricultural sector were reported as favorable, and the demand for agricultural products remained solid. Employment activity continued to improve, with hiring increasing at a faster pace in most districts; meanwhile, wages and salaries experienced little or muted upward pressures. Many Reserve Banks reported modest increases in consumer prices, but most districts noted rising prices of inputs, especially energy-related products, building materials, and steel.', 'hiring market': 9, 'material prices': 6}",9.0,7.0,8.0,6.0
https://www.minneapolisfed.org/beige-book-reports/2004/2004-07-su,2004-7,"{'consumer spending': 5, 'economic growth': 6, 'extract': 'Federal Reserve districts reported that economic activity continued to expand in June and early July, although several districts reported that the rate of growth moderated. Retail sales were widely cited as having slowed; in particular, most districts reported that auto sales were flat to down. Consumer spending moderated across much of the country in June and early July, following strong increases in spending in the early spring. Auto sales were generally weak throughout the country in the late spring. Home furnishings and home improvement items sold well in the Boston, Chicago, and Kansas City Districts, but New York noted that these products sold less well in its district than they had previously. ', 'hiring market': 7, 'material prices': 8}",7.0,5.0,6.0,8.0
https://www.minneapolisfed.org/beige-book-reports/2004/2004-09-su,2004-9,"{'consumer spending': 6, 'economic growth': 7, 'extract': ""Reports from the Federal Reserve Banks indicated that economic activity continued to expand in late July and August, although several districts indicated that the pace had slowed since their last reports.  Districts' characterizations of the rate of expansion ranged from slow (St. Louis) to solid (San Francisco), with many districts reporting modest or moderate growth. Household spending was reported to have softened in many parts of the nation, reflecting lackluster retail sales and some cooling in new and existing home sales.  Conditions in the manufacturing sector, on the other hand, improved further nationwide, especially among capital equipment and other durable goods makers.  Residential construction activity remained at high levels but slowed a bit in some regions; nonresidential construction remained tepid, as did demand for commercial and industrial space.  Agricultural conditions were mixed and generally tied to the weather.  Demand for consumer loans softened somewhat, but several districts noted increased commercial lending.  Employers in most districts continued to expand payrolls, though districts reported some unevenness across sectors.  While persistently rapid increases in nonwage labor costs continued to be a concern for many employers, wage pressures remained modest.  Consumer prices were generally flat or up modestly, although there were noticeable price increases for energy and some material inputs."", 'hiring market': 7, 'material prices': 8}",7.0,6.0,7.0,8.0
https://www.minneapolisfed.org/beige-book-reports/2004/2004-10-su,2004-10,"{'consumer spending': 5, 'economic growth': 6, 'extract': 'Reports from the twelve Federal Reserve Districts generally indicated that economic activity continued to expand in September and early October. Reports on consumer spending in September and early October were mixed by District and spending category. In contrast, business outlays appeared to pick up in most regions, with modest increases in both capital spending and hiring. Many Districts indicated that retail sales were soft during the reporting period, while others noted modest improvement. High energy costs were constraining household spending. On balance, capital spending appeared to pick up modestly. Hiring activity varied by region and industry, but appeared to increase modestly. Residential construction and real estate activity was robust again in September, although it appeared to soften further from the last Beige Book. On balance, nonresidential activity remained weak in most Districts, but there were scattered signs of improvement. District reports suggested that manufacturing activity expanded further from the previous Beige Book. Loan demand followed a pattern similar to that reported in the last Beige Book; the household sector softened a bit while loan demand from businesses strengthened somewhat. Wage pressures generally remained stable, according to most District reports. Firms across the nation also expressed concern about higher input costs, particularly for energy and petroleum-based products, metals, and construction materials. Despite mounting cost pressures, most District reports suggested that retail price increases were still largely subdued. Fall harvests were ahead of the normal pace in much of the country, as growing conditions improved in September and early October.', 'hiring market': 7, 'material prices': 4}",7.0,5.0,6.0,4.0
https://www.minneapolisfed.org/beige-book-reports/2004/2004-12-su,2004-12,"{'consumer spending': 5, 'economic growth': 7, 'extract': ""Reports from the twelve Federal Reserve Districts generally paint a picture of continued economic growth from mid-October to mid-November, with a number of areas improving. Eleven Districts reported expanding economic activity, with New York, Philadelphia, Atlanta, and Dallas noting a pickup in the pace of expansion since their last reports. Minneapolis indicated that the expansion in that District was broad-based, and San Francisco described the region's activity as solid. The Richmond, Chicago, and Kansas City Districts saw moderate gains in economic activity while St. Louis viewed the gains there as modest. Only the Cleveland District reported little change in economic activity. Overall consumer spending was uneven since the last Beige Book, with only a few Districts reporting stronger retail sales and many noting mixed, flat or slower sales. Automobile sales were flat to down across most Districts, and several Districts reported higher dealer inventories than desired. In contrast, manufacturing and service sector activity increased across the country. Residential real estate activity generally remained at high levels, but continued to show signs of cooling in a number of Districts. Nonresidential activity, while still sluggish in many areas, appeared to be turning the corner in several Districts. In credit markets, business lending was strengthening, but the pace of consumer and mortgage lending was mixed across the country. Contacts in the securities industry reported increased inflows into stock mutual funds and noted a pickup of stock issuance and merger-related activity. Many agricultural producers across the country said they were looking forward to large or record crop production. Energy-related activities remained strong."", 'hiring market': 8, 'material prices': 6}",8.0,5.0,7.0,6.0
https://www.minneapolisfed.org/beige-book-reports/2005/2005-01-su,2005-1,"{'consumer spending': 8, 'economic growth': 7, 'extract': 'Reports from the twelve Federal Reserve districts indicated that economic activity continued to expand from late November through early January. Eleven districts characterized activity as expanding with Atlanta, New York, and Richmond noting that the pace of activity had quickened since their last reports. The Cleveland District was less upbeat, characterizing economic activity in that district as mixed. Consumer spending was generally higher since the last Beige Book and a number of districts reported that retail sales during the holidays were above year-ago levels. While the pace of spending was sluggish in a number of districts at the beginning of the period, it picked up appreciably by late December. Adding to the strength in household spending was an increase in tourism in several districts. Most districts reported that manufacturing activity firmed and many districts said that businesses planned to increase capital spending in 2005. Although several reports noted some slowing in residential real estate and construction activity, real estate markets remained generally strong. In the financial sector, lending activity was mixed, as modestly higher commercial and industrial lending was tempered by slower residential mortgage lending. Several districts noted that agricultural conditions were favorable and that activity in the energy sector remained strong. Labor markets firmed in a number of districts, but wage pressures generally remained modest. Several districts reported higher prices for building materials and manufacturing inputs, but most reported steady or only slightly higher overall price levels.', 'hiring market': 6, 'material prices': 5}",6.0,8.0,7.0,5.0
https://www.minneapolisfed.org/beige-book-reports/2005/2005-03-su,2005-3,"{'consumer spending': 7, 'economic growth': 7, 'extract': 'Information received from District Banks suggests that the economy has continued to expand at a moderate pace since the last report.  All twelve Districts indicated that economic activity has increased, though Richmond reported some deceleration in the pace of growth, while Dallas noted some acceleration.  Relatively brisk growth was reported in the New York and San Francisco Districts.Consumer spending was steady to up moderately, with a number of Districts noting sluggish auto sales.  Retailers were mostly satisfied with current inventory levels and were generally optimistic about the outlook.  Travel and tourism activity were characterized as strong, with a few exceptions.  Reports from most other service industries also showed improvement.  Nearly all Districts reported continued expansion in manufacturing activity.  Housing markets and residential construction activity were described as robust in most areas, but commercial real estate markets were mixed.  Most Districts reported little change in overall loan demand, though a few indicated some pickup.Labor markets strengthened in almost all Districts; while wages continued to increase at a moderate pace, employers in many Districts reported ongoing pressures from higher benefit costs.  Many Districts reported increased difficulty in locating skilled workers for at least some industries.  A number of Districts reported increases in prices for manufactures and materials, but others noted some easing of input costs; prices of consumer goods and services were mixed but relatively flat, on balance.', 'hiring market': 8, 'material prices': 6}",8.0,7.0,7.0,6.0
